#,Make,MakeId,Model,ModelId,Horsepower,Gas,Drive,Edition,Description,Price,Picture,Link
1,Skoda,71,Fabia,492,95 PS,Benzin,Schaltgetriebe,Style,"Auto-Abo: Alles inklusive – ausser Tanken: Versicherung, Service & Reparatur, Zulassung & Verkehrssteuern ",ab CHF 410.- pro Monat im Auto-Abo,auto-1-skoda-fabia.jpg,https://abo-app.autoscout24.ch/details/1592987838825x386133508203712700?packageOption=850%20km&runtimeOption=12%20Monate
2,Fiat,26,500,96,70 PS,Benzin,Schaltgetriebe,Dolcevita,"Auto-Abo: Alles inklusive – ausser Tanken: Versicherung, Service & Reparatur, Zulassung & Verkehrssteuern ",ab CHF 522.- pro Monat im Auto-Abo,auto-2-fiat-500.png,https://abo-app.autoscout24.ch/details/1631082400305x130383129909657600?packageOption=850%20km&runtimeOption=12%20Monate
3,Seat,70,Mii,1825,83 PS,Elektrisch,Automatisch,electric,"Auto-Abo: Alles inklusive – ausser Tanken: Versicherung, Service & Reparatur, Zulassung & Verkehrssteuern ",ab CHF 590.- pro Monat im Auto-Abo,auto-3-seat-mii.png,https://abo-app.autoscout24.ch/details/1613032717287x452978968696717300?packageOption=850%20km&runtimeOption=12%20Monate
4,Citroën,17,C3,68,83 PS,Benzin,Schaltgetriebe,1.2 Pure Tech Feel S/S,"Auto-Abo: Alles inklusive – ausser Tanken: Versicherung, Service & Reparatur, Zulassung & Verkehrssteuern ",ab CHF 598.- pro Monat im Auto-Abo,auto-4-citroen-c3.png,https://abo-app.autoscout24.ch/details/1593072015457x189180157197379000?runtimeOption=12%20Monate&packageOption=1500%20km
5,Ford,27,Fiesta,158,125 PS,Benzin,Automatisch,ST-Line X,"Auto-Abo: Alles inklusive – ausser Tanken: Versicherung, Service & Reparatur, Zulassung & Verkehrssteuern ",ab CHF 502.- pro Monat im Auto-Abo,auto-5-ford-fiesta.png,https://abo-app.autoscout24.ch/details/1631082859794x430402016056442900?packageOption=850%20km&runtimeOption=12%20Monate
6,Fiat,26,Tipo,123,120 PS,Diesel,Automatisch,1.6 MultiJet 120 DCT Lounge,"Auto-Abo: Alles inklusive – ausser Tanken: Versicherung, Service & Reparatur, Zulassung & Verkehrssteuern ",ab CHF 649.- pro Monat im Auto-Abo,auto-6-fiat-tipo.png,https://abo-app.autoscout24.ch/details/1596779144130x498655952843686000?runtimeOption=12%20Monate&packageOption=850%20km
7,Renault,66,Clio,460,91 PS,Benzin,Automatisch,TCe 90 X-Tronic INTENS,"Auto-Abo: Alles inklusive – ausser Tanken: Versicherung, Service & Reparatur, Zulassung & Verkehrssteuern ",ab CHF 599.- pro Monat im Auto-Abo,auto-7-renault-clio.png,https://abo-app.autoscout24.ch/details/1631083599587x654011321500041200?runtimeOption=12%20Monate&packageOption=850%20km
10,BMW,9,118i,1566,136 PS,Benzin,Automatisch,Esseltial Edition,"Auto-Abo: Alles inklusive – ausser Tanken: Versicherung, Service & Reparatur, Zulassung & Verkehrssteuern ",ab CHF 649.- pro Monat im Auto-Abo,auto-10-bmw-118i.png,https://abo-app.autoscout24.ch/details/1608108272572x112318155761123330?runtimeOption=12%20Monate&packageOption=850%20km
12,Seat,70,Ibiza,136,150 PS,Benzin,Schaltgetriebe,FR,"Auto-Abo: Alles inklusive – ausser Tanken: Versicherung, Service & Reparatur, Zulassung & Verkehrssteuern ",ab CHF 568.- pro Monat im Auto-Abo,auto-12-seat-ibiza.png,https://abo-app.autoscout24.ch/details/1592926171564x595127671544221700?runtimeOption=12%20Monate&packageOption=850%20km
13,Citroën,17,C4,61,120 PS,Diesel,Automatisch,Cactus 1.5 BlueHDI 120 Feel,"Auto-Abo: Alles inklusive – ausser Tanken: Versicherung, Service & Reparatur, Zulassung & Verkehrssteuern ",ab CHF 647.- pro Monat im Auto-Abo,auto-13-citroen-c4.png,https://abo-app.autoscout24.ch/details/1608045278015x403857694460477440?runtimeOption=12%20Monate&packageOption=850%20km
14,VW,82,ID.3,3154,204 PS,Elektrisch,Automatisch,Life,"Auto-Abo: Alles inklusive – ausser Tanken: Versicherung, Service & Reparatur, Zulassung & Verkehrssteuern ",ab CHF 695.- pro Monat im Auto-Abo,auto-14-vw-id3.png,https://abo-app.autoscout24.ch/details/1610122837418x365960858806779900?runtimeOption=12%20Monate&packageOption=850%20km
15,Ford,27,Focus,159,150 PS,Benzin,Automatisch,ST-Line X MHEV,"Auto-Abo: Alles inklusive – ausser Tanken: Versicherung, Service & Reparatur, Zulassung & Verkehrssteuern ",ab CHF 621.- pro Monat im Auto-Abo,auto-15-ford-focus.png,https://abo-app.autoscout24.ch/details/1592981317080x387249739117686800?runtimeOption=12%20Monate&packageOption=850%20km
16,Ford,27,Puma,167,125 PS,Benzin,Automatisch,ST-Line X MHEV,"Auto-Abo: Alles inklusive – ausser Tanken: Versicherung, Service & Reparatur, Zulassung & Verkehrssteuern ",ab CHF 637.- pro Monat im Auto-Abo,auto-16-ford-puma.png,https://abo-app.autoscout24.ch/details/1615886396835x812018766559051800?runtimeOption=12%20Monate&packageOption=850%20km
17,Mazda,50,2,320,90 PS,Hybrid,Schaltgetriebe,1.5 90 Ambition Plus,"Auto-Abo: Alles inklusive – ausser Tanken: Versicherung, Service & Reparatur, Zulassung & Verkehrssteuern ",ab CHF 798.- pro Monat im Auto-Abo,auto-17-mazda-2.png,https://abo-app.autoscout24.ch/details/1593073053470x122536848669616110?runtimeOption=12%20Monate&packageOption=1500%20km
18,Suzuki,75,Swift,523,90 PS,Hybrid,Schaltgetriebe,1.2 Compact Top Hybrid 4x4,"Auto-Abo: Alles inklusive – ausser Tanken: Versicherung, Service & Reparatur, Zulassung & Verkehrssteuern ",ab CHF 798.- pro Monat im Auto-Abo,auto-18-suzuki-swift.png,https://abo-app.autoscout24.ch/details/1593089252197x991950889496949100?runtimeOption=12%20Monate&packageOption=1500%20km
22,Jeep,39,Compass,630,170 PS,Benzin,Automatisch,1.4 MultiAir 170 AWD Limited,"Auto-Abo: Alles inklusive – ausser Tanken: Versicherung, Service & Reparatur, Zulassung & Verkehrssteuern ",ab CHF 799.- pro Monat im Auto-Abo,auto-22-jeep-compass.png,https://abo-app.autoscout24.ch/details/1598506490210x484897266073703600?runtimeOption=12%20Monate&packageOption=850%20km
23,Fiat,26,500X,2109,150 PS,Benzin,Automatisch,500X 1.3 GSE DCT,"Auto-Abo: Alles inklusive – ausser Tanken: Versicherung, Service & Reparatur, Zulassung & Verkehrssteuern ",ab CHF 799.- pro Monat im Auto-Abo,auto-23-fiat-500x.png,https://abo-app.autoscout24.ch/details/1598507165292x890624892004825400?runtimeOption=12%20Monate&packageOption=850%20km
